route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,TPE,11:30,SFO,06:40,BR 8,"Non Stop, 11h 10m",Eva Airways ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,1
1.0,True,1.0,TPE,11:30,SFO,06:40,BR 8,"Non Stop, 11h 10m",Eva Airways ,2.0,,,Feb,2,1
2.0,True,1.0,TPE,23:30,SFO,18:40,BR 28,"Non Stop, 11h 10m",Eva Airways ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,1
2.0,True,1.0,TPE,23:30,SFO,18:40,BR 28,"Non Stop, 11h 10m",Eva Airways ,2.0,,,Feb,2,1
3.0,True,1.0,TPE,13:10,SFO,08:25,UA 852,"Non Stop, 11h 15m",United Airlines ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,1
3.0,True,1.0,TPE,13:10,SFO,08:25,UA 852,"Non Stop, 11h 15m",United Airlines ,2.0,"LM 85,000",+ US$ 54.80,Feb,2,1
4.0,True,1.0,TPE,11:10,SFO,06:25,UA 872,"Non Stop, 11h 15m",United Airlines ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,1
4.0,True,1.0,TPE,11:10,SFO,06:25,UA 872,"Non Stop, 11h 15m",United Airlines ,2.0,,,Feb,2,1
5.0,False,1.0,TPE,19:00,HKG,20:50,BR 809,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Feb,2,1
5.0,False,1.0,TPE,19:00,HKG,20:50,BR 809,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Feb,2,1
5.0,False,2.0,HKG,22:30,SFO,18:55,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Feb,2,1
5.0,False,2.0,HKG,22:30,SFO,18:55,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Feb,2,1
6.0,False,1.0,TPE,08:50,NRT,12:55,BR 198,Non Stop,EVA AIRWAYS,1.0,"LM 12,120",1 Seats left,Feb,2,1
6.0,False,1.0,TPE,08:50,NRT,12:55,BR 198,Non Stop,EVA AIRWAYS,2.0,"LM 21,400",4 Seats left,Feb,2,1
6.0,False,2.0,HND,16:25,SFO,09:00,UA 876,Non Stop,UNITED AIRLINES,1.0,"LM 27,880",,Feb,2,1
6.0,False,2.0,HND,16:25,SFO,09:00,UA 876,Non Stop,UNITED AIRLINES,2.0,"LM 63,600",,Feb,2,1
7.0,False,1.0,TPE,23:55,LAX,19:35,BR 16,Non Stop,EVA AIRWAYS,1.0,"LM 36,550",,Feb,2,1
7.0,False,1.0,TPE,23:55,LAX,19:35,BR 16,Non Stop,EVA AIRWAYS,2.0,,,Feb,2,1
7.0,False,2.0,LAX,22:35,SFO,00:13,UA 1597,Non Stop,UNITED AIRLINES,1.0,"LM 3,450",,Feb,2,1
7.0,False,2.0,LAX,22:35,SFO,00:13,UA 1597,Non Stop,UNITED AIRLINES,2.0,,,Feb,2,1
8.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Feb,2,1
8.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",,Feb,2,1
8.0,False,2.0,HKG,11:00,SFO,07:25,UA 862,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Feb,2,1
8.0,False,2.0,HKG,11:00,SFO,07:25,UA 862,Non Stop,UNITED AIRLINES,2.0,,,Feb,2,1
1.0,True,1.0,TPE,11:30,SFO,06:40,BR 8,"Non Stop, 11h 10m",Eva Airways ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,2
1.0,True,1.0,TPE,11:30,SFO,06:40,BR 8,"Non Stop, 11h 10m",Eva Airways ,2.0,,,Feb,2,2
2.0,True,1.0,TPE,19:50,SFO,15:00,BR 18,"Non Stop, 11h 10m",Eva Airways ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,2
2.0,True,1.0,TPE,19:50,SFO,15:00,BR 18,"Non Stop, 11h 10m",Eva Airways ,2.0,,,Feb,2,2
3.0,True,1.0,TPE,23:30,SFO,18:40,BR 28,"Non Stop, 11h 10m",Eva Airways ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,2
3.0,True,1.0,TPE,23:30,SFO,18:40,BR 28,"Non Stop, 11h 10m",Eva Airways ,2.0,,,Feb,2,2
4.0,True,1.0,TPE,11:10,SFO,06:25,UA 872,"Non Stop, 11h 15m",United Airlines ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,2
4.0,True,1.0,TPE,11:10,SFO,06:25,UA 872,"Non Stop, 11h 15m",United Airlines ,2.0,,,Feb,2,2
5.0,True,1.0,TPE,12:25,SFO,07:40,UA 852,"Non Stop, 11h 15m",United Airlines ,1.0,"LM 40,000",+ US$ 54.80,Feb,2,2
5.0,True,1.0,TPE,12:25,SFO,07:40,UA 852,"Non Stop, 11h 15m",United Airlines ,2.0,,,Feb,2,2
6.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Feb,2,2
6.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",,Feb,2,2
6.0,False,2.0,HKG,11:00,SFO,07:25,UA 862,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Feb,2,2
6.0,False,2.0,HKG,11:00,SFO,07:25,UA 862,Non Stop,UNITED AIRLINES,2.0,,,Feb,2,2
7.0,False,1.0,TSA,07:15,HND,11:05,BR 192,Non Stop,EVA AIRWAYS,1.0,,,Feb,2,2
7.0,False,1.0,TSA,07:15,HND,11:05,BR 192,Non Stop,EVA AIRWAYS,2.0,"LM 19,200",2 Seats left,Feb,2,2
7.0,False,2.0,HND,16:25,SFO,09:00,UA 876,Non Stop,UNITED AIRLINES,1.0,"LM 30,510",,Feb,2,2
7.0,False,2.0,HND,16:25,SFO,09:00,UA 876,Non Stop,UNITED AIRLINES,2.0,,,Feb,2,2
8.0,False,1.0,TSA,07:15,HND,11:05,BR 192,Non Stop,EVA AIRWAYS,1.0,,,Feb,2,2
8.0,False,1.0,TSA,07:15,HND,11:05,BR 192,Non Stop,EVA AIRWAYS,2.0,"LM 19,210",2 Seats left,Feb,2,2
8.0,False,2.0,NRT,16:55,SFO,09:15,UA 838,Non Stop,UNITED AIRLINES,1.0,"LM 30,510",,Feb,2,2
