route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,01
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,01
2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",2 Seats left,May,5,01
2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",1 Seats left,May,5,01
2.0,False,2.0,ICN,16:50,SFO,11:30,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",,May,5,01
2.0,False,2.0,ICN,16:50,SFO,11:30,UA 892,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,02
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,02
2.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,May,5,02
2.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",4 Seats left,May,5,02
2.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",,May,5,02
2.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,May,5,02
3.0,False,1.0,NRT,17:45,YUL,17:15,AC 6,Non Stop,AIR CANADA,1.0,"LM 29,040",,May,5,02
3.0,False,1.0,NRT,17:45,YUL,17:15,AC 6,Non Stop,AIR CANADA,2.0,,,May,5,02
3.0,False,2.0,YUL,20:00,SFO,23:17,AC 765,Non Stop,AIR CANADA,1.0,"LM 10,960",,May,5,02
3.0,False,2.0,YUL,20:00,SFO,23:17,AC 765,Non Stop,AIR CANADA,2.0,,,May,5,02
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,03
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,03
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,04
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,04
2.0,False,1.0,NRT,16:50,LAX,10:45,UA 33,Non Stop,UNITED AIRLINES,1.0,"LM 31,630",,May,5,04
2.0,False,1.0,NRT,16:50,LAX,10:45,UA 33,Non Stop,UNITED AIRLINES,2.0,,,May,5,04
2.0,False,2.0,LAX,16:50,SAN,17:52,UA 5415,Non Stop,OPERATED BY SKYWEST DBA UNITED EXPRESS,1.0,"LM 3,400",,May,5,04
2.0,False,2.0,LAX,16:50,SAN,17:52,UA 5415,Non Stop,OPERATED BY SKYWEST DBA UNITED EXPRESS,2.0,,,May,5,04
2.0,False,3.0,SAN,19:15,SFO,20:56,UA 2247,Non Stop,UNITED AIRLINES,1.0,"LM 4,970",,May,5,04
2.0,False,3.0,SAN,19:15,SFO,20:56,UA 2247,Non Stop,UNITED AIRLINES,2.0,,,May,5,04
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,05
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,05
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,06
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,06
2.0,True,1.0,NRT,17:00,SFO,10:35,NH 8,"Non Stop, 09h 35m",All Nippon Airways ,1.0,"LM 40,000",,May,5,06
2.0,True,1.0,NRT,17:00,SFO,10:35,NH 8,"Non Stop, 09h 35m",All Nippon Airways ,2.0,,,May,5,06
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,07
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,07
2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,May,5,07
2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,,,May,5,07
2.0,False,2.0,ICN,16:50,SFO,11:30,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",,May,5,07
2.0,False,2.0,ICN,16:50,SFO,11:30,UA 892,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1.0,"LM 40,000",+ US$ 66.50,May,5,08
1.0,True,1.0,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2.0,,,May,5,08
2.0,False,1.0,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",1 Seats left,May,5,08
2.0,False,1.0,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2.0,,,May,5,08
2.0,False,2.0,TPE,19:40,SFO,16:10,BR 18,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",1 Seats left,May,5,08
2.0,False,2.0,TPE,19:40,SFO,16:10,BR 18,Non Stop,EVA AIRWAYS,2.0,,,May,5,08
