route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,SFO,10:40,HND,13:55,UA 875,"Non Stop, 11h 15m",United Airlines ,1.0,"LM 47,000",+ US$ 26.70,May,5,01
1.0,True,1.0,SFO,10:40,HND,13:55,UA 875,"Non Stop, 11h 15m",United Airlines ,2.0,,,May,5,01
2.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,01
2.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
2.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,01
2.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 14,900",1 Seats left,May,5,01
3.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 39,510",,May,5,01
3.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,May,5,01
3.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,01
3.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 7,300",1 Seats left,May,5,01
4.0,False,1.0,SFO,23:15,ORD,05:32,UA 2423,Non Stop,UNITED AIRLINES,1.0,"LM 10,680",,May,5,01
4.0,False,1.0,SFO,23:15,ORD,05:32,UA 2423,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
4.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,1.0,"LM 36,320",,May,5,01
4.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
1.0,True,1.0,SFO,10:40,HND,13:55,UA 875,"Non Stop, 11h 15m",United Airlines ,1.0,"LM 47,000",+ US$ 26.70,May,5,02
1.0,True,1.0,SFO,10:40,HND,13:55,UA 875,"Non Stop, 11h 15m",United Airlines ,2.0,,,May,5,02
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,05
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,05
1.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,05
1.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 14,900",1 Seats left,May,5,05
1.0,False,1.0,SFO,23:30,ORD,05:47,UA 2423,Non Stop,UNITED AIRLINES,1.0,"LM 10,680",,May,5,06
1.0,False,1.0,SFO,23:30,ORD,05:47,UA 2423,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
1.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,1.0,"LM 36,320",,May,5,06
1.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
2.0,False,1.0,SFO,22:45,ORD,05:10,UA 476,Non Stop,UNITED AIRLINES,1.0,"LM 10,680",,May,5,06
2.0,False,1.0,SFO,22:45,ORD,05:10,UA 476,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
2.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,1.0,"LM 36,320",,May,5,06
2.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
3.0,False,1.0,SFO,21:04,IAD,05:21,UA 2117,Non Stop,UNITED AIRLINES,1.0,"LM 12,410",,May,5,06
3.0,False,1.0,SFO,21:04,IAD,05:21,UA 2117,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
3.0,False,2.0,IAD,12:30,HND,15:25,UA 803,Non Stop,UNITED AIRLINES,1.0,"LM 34,590",,May,5,06
3.0,False,2.0,IAD,12:30,HND,15:25,UA 803,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,07
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
1.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,07
1.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 14,900",1 Seats left,May,5,07
2.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 39,510",,May,5,07
2.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,May,5,07
2.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,07
2.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 7,300",1 Seats left,May,5,07
3.0,False,1.0,SFO,05:30,ORD,11:51,UA 561,Non Stop,UNITED AIRLINES,1.0,"LM 10,680",,May,5,07
3.0,False,1.0,SFO,05:30,ORD,11:51,UA 561,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
3.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,1.0,"LM 36,320",,May,5,07
3.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
4.0,False,1.0,SFO,23:30,ORD,05:47,UA 2423,Non Stop,UNITED AIRLINES,1.0,"LM 10,680",,May,5,07
4.0,False,1.0,SFO,23:30,ORD,05:47,UA 2423,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
4.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,1.0,"LM 36,320",,May,5,07
4.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
5.0,False,1.0,SFO,22:52,YYZ,07:00,UA 267,Non Stop,UNITED AIRLINES,1.0,"LM 12,170",,May,5,07
5.0,False,1.0,SFO,22:52,YYZ,07:00,UA 267,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
5.0,False,2.0,YYZ,13:15,HND,15:40,AC 1,Non Stop,AIR CANADA,1.0,"LM 34,830",,May,5,07
5.0,False,2.0,YYZ,13:15,HND,15:40,AC 1,Non Stop,AIR CANADA,2.0,,,May,5,07
6.0,False,1.0,SFO,22:45,ORD,05:10,UA 476,Non Stop,UNITED AIRLINES,1.0,"LM 10,680",,May,5,07
6.0,False,1.0,SFO,22:45,ORD,05:10,UA 476,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
6.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,1.0,"LM 36,320",,May,5,07
6.0,False,2.0,ORD,12:50,HND,15:55,UA 881,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,08
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,08
1.0,False,2.0,GMP,19:55,HND,22:15,NH 868,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,08
1.0,False,2.0,GMP,19:55,HND,22:15,NH 868,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 14,900",1 Seats left,May,5,08
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,08
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,08
2.0,False,2.0,ICN,21:10,HND,23:30,OZ 178,Non Stop,ASIANA AIRLINES,1.0,,,May,5,08
2.0,False,2.0,ICN,21:10,HND,23:30,OZ 178,Non Stop,ASIANA AIRLINES,2.0,"LM 14,910",1 Seats left,May,5,08
1.0,True,1.0,SFO,10:45,HND,13:55,UA 875,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 47,000",+ US$ 26.70,May,5,09
1.0,True,1.0,SFO,10:45,HND,13:55,UA 875,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,09
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,09
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,09
2.0,False,2.0,ICN,21:10,HND,23:30,OZ 178,Non Stop,ASIANA AIRLINES,1.0,,,May,5,09
2.0,False,2.0,ICN,21:10,HND,23:30,OZ 178,Non Stop,ASIANA AIRLINES,2.0,"LM 14,910",2 Seats left,May,5,09
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 37,200",,May,5,11
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,11
1.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,11
1.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 14,900",1 Seats left,May,5,11
2.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 39,510",3 Seats left,May,5,11
2.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,May,5,11
2.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,1.0,,,May,5,11
2.0,False,2.0,GMP,07:40,HND,09:50,NH 862,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 7,300",1 Seats left,May,5,11
