route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 26.70,May,5,01
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,01
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 282,Non Stop,UNITED AIRLINES,1.0,"LM 5,730",,May,5,01
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 282,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,270",,May,5,01
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
3.0,False,1.0,SFO,00:50,TPE,05:40,BR 27,Non Stop,EVA AIRWAYS,1.0,"LM 31,050",1 Seats left,May,5,01
3.0,False,1.0,SFO,00:50,TPE,05:40,BR 27,Non Stop,EVA AIRWAYS,2.0,,,May,5,01
3.0,False,2.0,TPE,08:00,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,"LM 8,950",1 Seats left,May,5,01
3.0,False,2.0,TPE,08:00,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,,,May,5,01
4.0,False,1.0,SFO,00:25,TPE,05:15,BR 17,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",1 Seats left,May,5,01
4.0,False,1.0,SFO,00:25,TPE,05:15,BR 17,Non Stop,EVA AIRWAYS,2.0,,,May,5,01
4.0,False,2.0,TPE,08:00,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",1 Seats left,May,5,01
4.0,False,2.0,TPE,08:00,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,,,May,5,01
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 26.70,May,5,02
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,02
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 2111,Non Stop,UNITED AIRLINES,1.0,"LM 5,730",,May,5,02
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 2111,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,270",,May,5,02
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,05
1.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,05
