route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,SFO,13:00,TPE,17:25,BR 7,"Non Stop, 13h 25m",Eva Airways ,1.0,"LM 40,000",,May,5,01
1.0,True,1.0,SFO,13:00,TPE,17:25,BR 7,"Non Stop, 13h 25m",Eva Airways ,2.0,,,May,5,01
2.0,True,1.0,SFO,00:50,TPE,05:40,BR 27,"Non Stop, 13h 50m",Eva Airways ,1.0,"LM 40,000",,May,5,01
2.0,True,1.0,SFO,00:50,TPE,05:40,BR 27,"Non Stop, 13h 50m",Eva Airways ,2.0,,,May,5,01
3.0,True,1.0,SFO,00:25,TPE,05:15,BR 17,"Non Stop, 13h 50m",Eva Airways ,1.0,"LM 40,000",,May,5,01
3.0,True,1.0,SFO,00:25,TPE,05:15,BR 17,"Non Stop, 13h 50m",Eva Airways ,2.0,,,May,5,01
4.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,01
4.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
4.0,False,2.0,HKG,07:25,TPE,09:10,BR 828,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,01
4.0,False,2.0,HKG,07:25,TPE,09:10,BR 828,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,May,5,01
5.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,01
5.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
5.0,False,2.0,HKG,21:45,TPE,23:30,BR 810,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,01
5.0,False,2.0,HKG,21:45,TPE,23:30,BR 810,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,May,5,01
6.0,False,1.0,SFO,06:00,LAX,07:35,UA 1260,Non Stop,UNITED AIRLINES,1.0,"LM 3,450",,May,5,01
6.0,False,1.0,SFO,06:00,LAX,07:35,UA 1260,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
6.0,False,2.0,LAX,12:00,TPE,16:55,BR 5,Non Stop,EVA AIRWAYS,1.0,"LM 36,550",2 Seats left,May,5,01
6.0,False,2.0,LAX,12:00,TPE,16:55,BR 5,Non Stop,EVA AIRWAYS,2.0,,,May,5,01
7.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,01
7.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
7.0,False,2.0,HKG,09:50,TPE,11:40,BR 892,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,May,5,01
7.0,False,2.0,HKG,09:50,TPE,11:40,BR 892,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,May,5,01
1.0,True,1.0,SFO,01:15,TPE,05:45,BR 27,"Non Stop, 13h 30m",Eva Airways ,1.0,"LM 40,000",,May,5,02
1.0,True,1.0,SFO,01:15,TPE,05:45,BR 27,"Non Stop, 13h 30m",Eva Airways ,2.0,,,May,5,02
2.0,False,1.0,SFO,10:50,KIX,14:50,UA 35,Non Stop,UNITED AIRLINES,1.0,"LM 32,390",,May,5,02
2.0,False,1.0,SFO,10:50,KIX,14:50,UA 35,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
2.0,False,2.0,KIX,18:30,TPE,20:30,BR 129,Non Stop,EVA AIRWAYS,1.0,,,May,5,02
2.0,False,2.0,KIX,18:30,TPE,20:30,BR 129,Non Stop,EVA AIRWAYS,2.0,"LM 15,360",1 Seats left,May,5,02
3.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,02
3.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
3.0,False,2.0,HKG,07:25,TPE,09:10,BR 828,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,02
3.0,False,2.0,HKG,07:25,TPE,09:10,BR 828,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,May,5,02
4.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,02
4.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
4.0,False,2.0,HKG,21:45,TPE,23:30,BR 810,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,02
4.0,False,2.0,HKG,21:45,TPE,23:30,BR 810,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,May,5,02
5.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,02
5.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
5.0,False,2.0,HKG,09:50,TPE,11:40,BR 892,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,May,5,02
5.0,False,2.0,HKG,09:50,TPE,11:40,BR 892,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,May,5,02
6.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,02
6.0,False,1.0,SFO,23:05,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,2.0,,,May,5,02
6.0,False,2.0,HKG,11:05,TPE,12:55,BR 852,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,02
6.0,False,2.0,HKG,11:05,TPE,12:55,BR 852,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,May,5,02
1.0,True,1.0,SFO,13:00,TPE,17:25,BR 7,"Non Stop, 13h 25m",Eva Airways ,1.0,"LM 40,000",,May,5,03
1.0,True,1.0,SFO,13:00,TPE,17:25,BR 7,"Non Stop, 13h 25m",Eva Airways ,2.0,,,May,5,03
2.0,True,1.0,SFO,01:15,TPE,05:45,BR 27,"Non Stop, 13h 30m",Eva Airways ,1.0,"LM 40,000",,May,5,03
2.0,True,1.0,SFO,01:15,TPE,05:45,BR 27,"Non Stop, 13h 30m",Eva Airways ,2.0,,,May,5,03
3.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,03
3.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,2.0,,,May,5,03
3.0,False,2.0,HKG,21:10,TPE,22:55,BR 858,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,03
3.0,False,2.0,HKG,21:10,TPE,22:55,BR 858,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,May,5,03
4.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 29,620",,May,5,03
4.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,03
4.0,False,2.0,ICN,19:45,TPE,21:25,BR 159,Non Stop,EVA AIRWAYS,1.0,,,May,5,03
4.0,False,2.0,ICN,19:45,TPE,21:25,BR 159,Non Stop,EVA AIRWAYS,2.0,"LM 20,640",1 Seats left,May,5,03
5.0,False,1.0,SFO,19:06,DEN,22:47,UA 589,Non Stop,UNITED AIRLINES,1.0,"LM 3,890",,May,5,03
5.0,False,1.0,SFO,19:06,DEN,22:47,UA 589,Non Stop,UNITED AIRLINES,2.0,,,May,5,03
5.0,False,2.0,DEN,06:00,LAX,07:32,UA 741,Non Stop,UNITED AIRLINES,1.0,"LM 3,450",,May,5,03
5.0,False,2.0,DEN,06:00,LAX,07:32,UA 741,Non Stop,UNITED AIRLINES,2.0,,,May,5,03
5.0,False,3.0,LAX,12:00,TPE,16:55,BR 5,Non Stop,EVA AIRWAYS,1.0,"LM 32,660",1 Seats left,May,5,03
5.0,False,3.0,LAX,12:00,TPE,16:55,BR 5,Non Stop,EVA AIRWAYS,2.0,,,May,5,03
1.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,May,5,04
1.0,False,1.0,SFO,13:05,HKG,18:45,UA 869,Non Stop,UNITED AIRLINES,2.0,,,May,5,04
1.0,False,2.0,HKG,21:10,TPE,22:55,BR 858,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,May,5,04
1.0,False,2.0,HKG,21:10,TPE,22:55,BR 858,Non Stop,EVA AIRWAYS,2.0,,,May,5,04
