route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,1,"LM 47,000",+ US$ 66.40,May,5,01
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,2,,,May,5,01
2,False,1,HND,15:45,IAD,15:45,UA 804,Non Stop,UNITED AIRLINES,1,"LM 34,590",,May,5,01
2,False,1,HND,15:45,IAD,15:45,UA 804,Non Stop,UNITED AIRLINES,2,,,May,5,01
2,False,2,IAD,22:00,SFO,01:04,UA 2172,Non Stop,UNITED AIRLINES,1,"LM 12,410",,May,5,01
2,False,2,IAD,22:00,SFO,01:04,UA 2172,Non Stop,UNITED AIRLINES,2,,,May,5,01
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,1,"LM 47,000",+ US$ 66.40,May,5,02
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,2,,,May,5,02
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,1,"LM 47,000",+ US$ 66.40,May,5,03
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,2,,,May,5,03
2,False,1,HND,17:40,YYZ,17:10,AC 2,Non Stop,AIR CANADA,1,"LM 34,830",,May,5,03
2,False,1,HND,17:40,YYZ,17:10,AC 2,Non Stop,AIR CANADA,2,,,May,5,03
2,False,2,YYZ,20:45,SFO,23:22,AC 747,Non Stop,AIR CANADA,1,"LM 12,170",4 Seats left,May,5,03
2,False,2,YYZ,20:45,SFO,23:22,AC 747,Non Stop,AIR CANADA,2,,,May,5,03
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,1,"LM 47,000",+ US$ 66.40,May,5,04
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,2,,,May,5,04
2,True,1,HND,22:55,SFO,16:35,NH 108,"Non Stop, 09h 40m",All Nippon Airways ,1,"LM 47,000",,May,5,04
2,True,1,HND,22:55,SFO,16:35,NH 108,"Non Stop, 09h 40m",All Nippon Airways ,2,,,May,5,04
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,1,"LM 47,000",+ US$ 66.40,May,5,05
1,True,1,HND,17:45,SFO,11:20,UA 876,"Non Stop, 09h 35m",United Airlines ,2,,,May,5,05
2,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",2 Seats left,May,5,05
2,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,May,5,05
2,False,2,KIX,16:50,SFO,11:10,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,May,5,05
2,False,2,KIX,16:50,SFO,11:10,UA 34,Non Stop,UNITED AIRLINES,2,,,May,5,05
