Month,month,Date,route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo
Aug,8,17,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",
Aug,8,17,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,
Aug,8,22,1.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",3 Seats left
Aug,8,22,1.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left
Aug,8,22,1.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",4 Seats left
Aug,8,22,1.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,23,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",
Aug,8,23,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,
Aug,8,24,1.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",1 Seats left
Aug,8,24,1.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",1 Seats left
Aug,8,24,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",2 Seats left
Aug,8,24,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,26,1.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1.0,,
Aug,8,26,1.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left
Aug,8,26,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,630",4 Seats left
Aug,8,26,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
