route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,False,1.0,NRT,16:00,ICN,18:35,OZ 103,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,Jun,6,01
1.0,False,1.0,NRT,16:00,ICN,18:35,OZ 103,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,01
1.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",1 Seats left,Jun,6,01
1.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,01
1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Jun,6,02
1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,,Jun,6,02
2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,Jun,6,02
2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,02
2.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",,Jun,6,02
2.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,02
1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Jun,6,03
1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,,Jun,6,03
2.0,False,1.0,NRT,16:00,ICN,18:35,OZ 103,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,Jun,6,03
2.0,False,1.0,NRT,16:00,ICN,18:35,OZ 103,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",1 Seats left,Jun,6,03
2.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",,Jun,6,03
2.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,03
3.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",2 Seats left,Jun,6,03
3.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,03
3.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",,Jun,6,03
3.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,03
