route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1,"LM 40,000",+ US$ 66.80,May,5,01
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2,,,May,5,01
2,False,1,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1,"LM 6,380",1 Seats left,May,5,01
2,False,1,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2,,,May,5,01
2,False,2,ICN,16:50,SFO,11:30,UA 892,Non Stop,UNITED AIRLINES,1,"LM 33,620",,May,5,01
2,False,2,ICN,16:50,SFO,11:30,UA 892,Non Stop,UNITED AIRLINES,2,,,May,5,01
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1,"LM 40,000",+ US$ 66.80,May,5,02
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2,,,May,5,02
2,False,1,NRT,16:00,ICN,18:35,OZ 103,Non Stop,ASIANA AIRLINES,1,"LM 6,380",,May,5,02
2,False,1,NRT,16:00,ICN,18:35,OZ 103,Non Stop,ASIANA AIRLINES,2,,,May,5,02
2,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 33,620",3 Seats left,May,5,02
2,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2,,,May,5,02
3,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1,"LM 6,380",,May,5,02
3,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2,,,May,5,02
3,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 33,620",3 Seats left,May,5,02
3,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2,,,May,5,02
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1,"LM 40,000",+ US$ 66.80,May,5,03
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2,,,May,5,03
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,1,"LM 40,000",+ US$ 66.80,May,5,04
1,True,1,NRT,17:05,SFO,10:25,UA 838,"Non Stop, 09h 20m",United Airlines ,2,,,May,5,04
