route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1.0,"LM 40,000",,Sep,9,01
1.0,True,1.0,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2.0,,,Sep,9,01
2.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Sep,9,01
2.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,,Sep,9,01
1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Sep,9,02
1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,,Sep,9,02
1.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,Sep,9,03
1.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",4 Seats left,Sep,9,03
1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",,Sep,9,03
1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Sep,9,03
1.0,False,1.0,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",1 Seats left,Sep,9,04
1.0,False,1.0,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,04
1.0,False,2.0,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",1 Seats left,Sep,9,04
1.0,False,2.0,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,04
2.0,False,1.0,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1.0,"LM 8,950",1 Seats left,Sep,9,04
2.0,False,1.0,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,04
2.0,False,2.0,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1.0,"LM 31,050",1 Seats left,Sep,9,04
2.0,False,2.0,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,04
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Sep,9,05
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2.0,,,Sep,9,05
2.0,True,1.0,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1.0,"LM 40,000",,Sep,9,05
2.0,True,1.0,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2.0,,,Sep,9,05
3.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",,Sep,9,05
3.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left,Sep,9,05
3.0,False,2.0,ICN,16:50,SFO,11:35,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",,Sep,9,05
3.0,False,2.0,ICN,16:50,SFO,11:35,UA 892,Non Stop,UNITED AIRLINES,2.0,,,Sep,9,05
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Sep,9,06
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2.0,,,Sep,9,06
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Sep,9,07
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2.0,,,Sep,9,07
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80,Sep,9,08
1.0,True,1.0,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2.0,,,Sep,9,08
