route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,Aug,8,01
1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,,Aug,8,01
1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,1.0,"LM 40,000",,Aug,8,05
1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,2.0,,,Aug,8,05
2.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,1.0,"LM 7,890",,Aug,8,05
2.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,2.0,,,Aug,8,05
2.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,1.0,"LM 32,110",2 Seats left,Aug,8,05
2.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,2.0,,,Aug,8,05
1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,Aug,8,06
1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,,Aug,8,06
2.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,1.0,"LM 7,890",,Aug,8,06
2.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,2.0,,,Aug,8,06
2.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,1.0,"LM 32,110",1 Seats left,Aug,8,06
2.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,2.0,,,Aug,8,06
