Month,month,Date,route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo
Jul,7,04,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
Jul,7,04,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,06,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
Jul,7,06,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,07,1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",4 Seats left
Jul,7,07,1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,
Jul,7,07,1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",1 Seats left
Jul,7,07,1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",1 Seats left
Jul,7,08,1.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,670",
Jul,7,08,1.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,08,1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,,
Jul,7,08,1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",1 Seats left
Jul,7,09,1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",
Jul,7,09,1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,09,1.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",
Jul,7,09,1.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left
