route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,01
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,01
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 282,Non Stop,UNITED AIRLINES,1.0,"LM 5,730",,May,5,01
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 282,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,270",,May,5,01
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
3.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,01
3.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,01
3.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",2 Seats left,May,5,01
3.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,May,5,01
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,02
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,02
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,03
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,03
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,04
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,04
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,05
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,05
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,06
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,06
2.0,False,1.0,SFO,23:55,IAH,05:43,UA 505,Non Stop,UNITED AIRLINES,1.0,"LM 7,890",,May,5,06
2.0,False,1.0,SFO,23:55,IAH,05:43,UA 505,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
2.0,False,2.0,IAH,10:20,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,1.0,"LM 32,110",,May,5,06
2.0,False,2.0,IAH,10:20,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
3.0,False,1.0,SFO,19:06,DEN,22:47,UA 589,Non Stop,UNITED AIRLINES,1.0,"LM 4,310",,May,5,06
3.0,False,1.0,SFO,19:06,DEN,22:47,UA 589,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
3.0,False,2.0,DEN,06:00,LAX,07:32,UA 741,Non Stop,UNITED AIRLINES,1.0,"LM 3,830",,May,5,06
3.0,False,2.0,DEN,06:00,LAX,07:32,UA 741,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
3.0,False,3.0,LAX,11:05,NRT,14:40,UA 32,Non Stop,UNITED AIRLINES,1.0,"LM 31,860",,May,5,06
3.0,False,3.0,LAX,11:05,NRT,14:40,UA 32,Non Stop,UNITED AIRLINES,2.0,,,May,5,06
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,07
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,07
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 2111,Non Stop,UNITED AIRLINES,1.0,"LM 5,730",,May,5,07
2.0,False,1.0,SFO,06:30,DEN,10:10,UA 2111,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,270",,May,5,07
2.0,False,2.0,DEN,11:55,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
3.0,False,1.0,SFO,06:00,LAX,07:35,UA 1260,Non Stop,UNITED AIRLINES,1.0,"LM 3,890",,May,5,07
3.0,False,1.0,SFO,06:00,LAX,07:35,UA 1260,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
3.0,False,2.0,LAX,11:05,NRT,14:40,UA 32,Non Stop,UNITED AIRLINES,1.0,"LM 36,110",,May,5,07
3.0,False,2.0,LAX,11:05,NRT,14:40,UA 32,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
4.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,07
4.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,07
4.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",3 Seats left,May,5,07
4.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,,,May,5,07
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,08
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,08
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,08
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,08
2.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,May,5,08
2.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,,,May,5,08
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,09
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,09
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,11
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,11
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",3 Seats left,May,5,11
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,11
2.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",1 Seats left,May,5,11
2.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,,,May,5,11
3.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,11
3.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,11
3.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",1 Seats left,May,5,11
3.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,,,May,5,11
4.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",2 Seats left,May,5,11
4.0,False,1.0,SFO,23:30,ICN,04:30,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,May,5,11
4.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",1 Seats left,May,5,11
4.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,,,May,5,11
5.0,False,1.0,SFO,23:20,TPE,04:05,UA 853,Non Stop,UNITED AIRLINES,1.0,"LM 31,060",3 Seats left,May,5,11
5.0,False,1.0,SFO,23:20,TPE,04:05,UA 853,Non Stop,UNITED AIRLINES,2.0,,,May,5,11
5.0,False,2.0,TPE,09:00,NRT,13:25,BR 198,Non Stop,EVA AIRWAYS,1.0,,,May,5,11
5.0,False,2.0,TPE,09:00,NRT,13:25,BR 198,Non Stop,EVA AIRWAYS,2.0,"LM 16,340",1 Seats left,May,5,11
6.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,11
6.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,11
6.0,False,2.0,ICN,12:15,NRT,14:40,OZ 104,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,May,5,11
6.0,False,2.0,ICN,12:15,NRT,14:40,OZ 104,Non Stop,ASIANA AIRLINES,2.0,,,May,5,11
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,May,5,12
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,12
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,May,5,12
2.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,May,5,12
2.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,May,5,12
2.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,,,May,5,12
