route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,False,1.0,SFO,06:35,DEN,10:16,UA 1402,Non Stop,UNITED AIRLINES,1.0,"LM 5,740",,Oct,10,01
1.0,False,1.0,SFO,06:35,DEN,10:16,UA 1402,Non Stop,UNITED AIRLINES,2.0,,,Oct,10,01
1.0,False,2.0,DEN,11:30,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,260",,Oct,10,01
1.0,False,2.0,DEN,11:30,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,,Oct,10,01
2.0,False,1.0,SFO,01:25,TPE,05:35,BR 27,Non Stop,EVA AIRWAYS,1.0,"LM 31,050",1 Seats left,Oct,10,01
2.0,False,1.0,SFO,01:25,TPE,05:35,BR 27,Non Stop,EVA AIRWAYS,2.0,,,Oct,10,01
2.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,"LM 8,950",1 Seats left,Oct,10,01
2.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,,,Oct,10,01
3.0,False,1.0,SFO,01:00,TPE,05:10,BR 17,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",1 Seats left,Oct,10,01
3.0,False,1.0,SFO,01:00,TPE,05:10,BR 17,Non Stop,EVA AIRWAYS,2.0,,,Oct,10,01
3.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",1 Seats left,Oct,10,01
3.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,,,Oct,10,01
1.0,True,1.0,SFO,11:45,NRT,14:50,UA 837,"Non Stop, 11h 05m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80,Oct,10,02
1.0,True,1.0,SFO,11:45,NRT,14:50,UA 837,"Non Stop, 11h 05m",United Airlines ,2.0,,,Oct,10,02
2.0,False,1.0,SFO,06:35,DEN,10:16,UA 1402,Non Stop,UNITED AIRLINES,1.0,"LM 5,740",,Oct,10,02
2.0,False,1.0,SFO,06:35,DEN,10:16,UA 1402,Non Stop,UNITED AIRLINES,2.0,,,Oct,10,02
2.0,False,2.0,DEN,11:30,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,260",,Oct,10,02
2.0,False,2.0,DEN,11:30,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,,Oct,10,02
3.0,False,1.0,SFO,01:10,TPE,05:40,BR 27,Non Stop,EVA AIRWAYS,1.0,"LM 31,050",1 Seats left,Oct,10,02
