route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Sep,9,01
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,Sep,9,01
1.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,Sep,9,01
1.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,,,Sep,9,01
2.0,False,1.0,SFO,01:25,TPE,05:15,BR 27,Non Stop,EVA AIRWAYS,1.0,"LM 31,050",1 Seats left,Sep,9,01
2.0,False,1.0,SFO,01:25,TPE,05:15,BR 27,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,01
2.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,"LM 8,950",1 Seats left,Sep,9,01
2.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,01
3.0,False,1.0,SFO,01:00,TPE,04:50,BR 17,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",1 Seats left,Sep,9,01
3.0,False,1.0,SFO,01:00,TPE,04:50,BR 17,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,01
3.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",1 Seats left,Sep,9,01
3.0,False,2.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,,,Sep,9,01
4.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Sep,9,01
4.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,Sep,9,01
4.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",4 Seats left,Sep,9,01
4.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,,,Sep,9,01
