Month,month,Date,route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo
Aug,8,20,1.0,False,1.0,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,20,1.0,False,1.0,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,2.0,"LM 15,360",1 Seats left
Aug,8,20,1.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1.0,"LM 32,390",
Aug,8,20,1.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,22,1.0,False,1.0,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,22,1.0,False,1.0,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,2.0,"LM 17,120",1 Seats left
Aug,8,22,1.0,False,2.0,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1.0,"LM 3,750",
Aug,8,22,1.0,False,2.0,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2.0,,
Aug,8,22,1.0,False,3.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1.0,"LM 28,000",
Aug,8,22,1.0,False,3.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,22,2.0,False,1.0,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,22,2.0,False,1.0,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,2.0,"LM 19,200",1 Seats left
Aug,8,22,2.0,False,2.0,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,1.0,"LM 30,510",
Aug,8,22,2.0,False,2.0,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,22,3.0,False,1.0,TPE,21:20,IAH,22:50,BR 52,Non Stop,EVA AIRWAYS,1.0,"LM 34,140",1 Seats left
Aug,8,22,3.0,False,1.0,TPE,21:20,IAH,22:50,BR 52,Non Stop,EVA AIRWAYS,2.0,,
Aug,8,22,3.0,False,2.0,IAH,06:00,SFO,08:09,UA 1041,Non Stop,UNITED AIRLINES,1.0,"LM 5,860",
Aug,8,22,3.0,False,2.0,IAH,06:00,SFO,08:09,UA 1041,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,24,1.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",1 Seats left
Aug,8,24,1.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2.0,,
Aug,8,24,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,930",2 Seats left
Aug,8,24,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,24,2.0,False,1.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,24,2.0,False,1.0,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2.0,"LM 21,400",1 Seats left
Aug,8,24,2.0,False,2.0,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,1.0,"LM 27,890",
Aug,8,24,2.0,False,2.0,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,24,3.0,False,1.0,TSA,09:20,GMP,12:50,BR 156,Non Stop,EVA AIRWAYS,1.0,"LM 4,920",2 Seats left
Aug,8,24,3.0,False,1.0,TSA,09:20,GMP,12:50,BR 156,Non Stop,EVA AIRWAYS,2.0,"LM 6,370",1 Seats left
Aug,8,24,3.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 35,080",2 Seats left
Aug,8,24,3.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,25,1.0,True,1.0,TPE,10:15,SFO,07:00,BR 8,"Non Stop, 11h 45m",Eva Airways ,1.0,"LM 40,000",
Aug,8,25,1.0,True,1.0,TPE,10:15,SFO,07:00,BR 8,"Non Stop, 11h 45m",Eva Airways ,2.0,,
Aug,8,26,1.0,True,1.0,TPE,19:40,SFO,16:35,BR 18,"Non Stop, 11h 55m",Eva Airways ,1.0,"LM 40,000",
Aug,8,26,1.0,True,1.0,TPE,19:40,SFO,16:35,BR 18,"Non Stop, 11h 55m",Eva Airways ,2.0,,
Aug,8,26,2.0,True,1.0,TPE,23:30,SFO,20:25,BR 28,"Non Stop, 11h 55m",Eva Airways ,1.0,"LM 40,000",
Aug,8,26,2.0,True,1.0,TPE,23:30,SFO,20:25,BR 28,"Non Stop, 11h 55m",Eva Airways ,2.0,,
Aug,8,26,3.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",4 Seats left
Aug,8,26,3.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2.0,"LM 10,600",2 Seats left
Aug,8,26,3.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,930",4 Seats left
Aug,8,26,3.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,26,4.0,False,1.0,TPE,08:30,KIX,12:10,BR 132,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,26,4.0,False,1.0,TPE,08:30,KIX,12:10,BR 132,Non Stop,EVA AIRWAYS,2.0,"LM 15,360",2 Seats left
Aug,8,26,4.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1.0,"LM 32,390",
Aug,8,26,4.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,26,5.0,False,1.0,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,26,5.0,False,1.0,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,2.0,"LM 15,360",1 Seats left
Aug,8,26,5.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1.0,"LM 32,390",
Aug,8,26,5.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,27,1.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",4 Seats left
Aug,8,27,1.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2.0,"LM 10,600",1 Seats left
Aug,8,27,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,930",2 Seats left
Aug,8,27,1.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,27,2.0,False,1.0,TPE,08:30,KIX,12:10,BR 132,Non Stop,EVA AIRWAYS,1.0,,
Aug,8,27,2.0,False,1.0,TPE,08:30,KIX,12:10,BR 132,Non Stop,EVA AIRWAYS,2.0,"LM 15,360",1 Seats left
Aug,8,27,2.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1.0,"LM 32,390",
Aug,8,27,2.0,False,2.0,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,27,3.0,False,1.0,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,1.0,"LM 8,060",1 Seats left
Aug,8,27,3.0,False,1.0,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,27,3.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,940",2 Seats left
Aug,8,27,3.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,27,4.0,False,1.0,TPE,07:30,ICN,11:00,BR 170,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",4 Seats left
Aug,8,27,4.0,False,1.0,TPE,07:30,ICN,11:00,BR 170,Non Stop,EVA AIRWAYS,2.0,"LM 10,600",1 Seats left
Aug,8,27,4.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 31,930",
Aug,8,27,4.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,27,5.0,False,1.0,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,1.0,,
