route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,01
1.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jul,7,01
1.0,False,2.0,HKG,11:15,SFO,09:15,UA 862,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,01
1.0,False,2.0,HKG,11:15,SFO,09:15,UA 862,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,01
1.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",1 Seats left,Jul,7,02
1.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jul,7,02
1.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,02
1.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,02
2.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,02
2.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,02
2.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,02
2.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,02
3.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,02
3.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,02
3.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,02
3.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,02
4.0,False,1.0,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,Jul,7,02
4.0,False,1.0,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jul,7,02
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,02
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,02
1.0,True,1.0,TPE,12:10,SFO,09:05,UA 852,"Non Stop, 11h 55m",United Airlines ,1.0,"LM 40,000",,Jul,7,03
1.0,True,1.0,TPE,12:10,SFO,09:05,UA 852,"Non Stop, 11h 55m",United Airlines ,2.0,,,Jul,7,03
1.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,Jul,7,04
1.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jul,7,04
1.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,04
1.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,04
2.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,04
2.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,04
2.0,False,2.0,HKG,11:15,SFO,09:15,UA 862,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,04
2.0,False,2.0,HKG,11:15,SFO,09:15,UA 862,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,04
3.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,04
3.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,04
3.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,04
3.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,04
4.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,04
4.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,04
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,04
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,04
5.0,False,1.0,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,Jul,7,04
5.0,False,1.0,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jul,7,04
5.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,04
5.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,04
1.0,True,1.0,TPE,09:50,SFO,06:45,UA 872,"Non Stop, 11h 55m",United Airlines ,1.0,"LM 40,000",+ US$ 55.80,Jul,7,05
1.0,True,1.0,TPE,09:50,SFO,06:45,UA 872,"Non Stop, 11h 55m",United Airlines ,2.0,,,Jul,7,05
2.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,Jul,7,05
2.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jul,7,05
2.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,05
2.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,05
3.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,05
3.0,False,1.0,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,05
3.0,False,2.0,HKG,11:15,SFO,09:15,UA 862,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,05
3.0,False,2.0,HKG,11:15,SFO,09:15,UA 862,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,05
4.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,05
4.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,05
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jul,7,05
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,05
5.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jul,7,05
5.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jul,7,05
