route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",1 Seats left,Jun,6,01
1.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2.0,,,Jun,6,01
1.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,930",1 Seats left,Jun,6,01
1.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,01
2.0,False,1.0,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,1.0,"LM 8,060",1 Seats left,Jun,6,01
2.0,False,1.0,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,01
2.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,940",1 Seats left,Jun,6,01
2.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,01
3.0,False,1.0,TSA,09:20,GMP,12:50,BR 156,Non Stop,EVA AIRWAYS,1.0,"LM 4,920",1 Seats left,Jun,6,01
3.0,False,1.0,TSA,09:20,GMP,12:50,BR 156,Non Stop,EVA AIRWAYS,2.0,,,Jun,6,01
3.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 35,080",1 Seats left,Jun,6,01
3.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,01
1.0,True,1.0,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,1.0,"LM 40,000",,Jun,6,02
1.0,True,1.0,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,2.0,,,Jun,6,02
2.0,True,1.0,TPE,09:50,SFO,06:45,UA 872,"Non Stop, 11h 55m",United Airlines ,1.0,"LM 40,000",+ US$ 55.80,Jun,6,02
2.0,True,1.0,TPE,09:50,SFO,06:45,UA 872,"Non Stop, 11h 55m",United Airlines ,2.0,,,Jun,6,02
3.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",1 Seats left,Jun,6,02
3.0,False,1.0,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2.0,,,Jun,6,02
3.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 31,930",1 Seats left,Jun,6,02
3.0,False,2.0,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,,Jun,6,02
4.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jun,6,02
4.0,False,1.0,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",2 Seats left,Jun,6,02
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jun,6,02
4.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,02
5.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",,Jun,6,02
5.0,False,1.0,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,2.0,,,Jun,6,02
5.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jun,6,02
5.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,02
6.0,False,1.0,TPE,07:30,ICN,11:00,BR 170,Non Stop,EVA AIRWAYS,1.0,"LM 8,070",3 Seats left,Jun,6,02
6.0,False,1.0,TPE,07:30,ICN,11:00,BR 170,Non Stop,EVA AIRWAYS,2.0,"LM 10,600",1 Seats left,Jun,6,02
6.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 31,930",,Jun,6,02
6.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,02
7.0,False,1.0,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",2 Seats left,Jun,6,02
7.0,False,1.0,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jun,6,02
7.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,1.0,"LM 34,510",,Jun,6,02
7.0,False,2.0,HKG,22:30,SFO,20:30,UA 878,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,02
1.0,True,1.0,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,1.0,"LM 40,000",,Jun,6,03
1.0,True,1.0,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,2.0,,,Jun,6,03
2.0,True,1.0,TPE,09:50,SFO,06:45,UA 872,"Non Stop, 11h 55m",United Airlines ,1.0,"LM 40,000",+ US$ 55.80,Jun,6,03
2.0,True,1.0,TPE,09:50,SFO,06:45,UA 872,"Non Stop, 11h 55m",United Airlines ,2.0,,,Jun,6,03
3.0,True,1.0,TPE,12:10,SFO,09:05,UA 852,"Non Stop, 11h 55m",United Airlines ,1.0,"LM 40,000",+ US$ 55.80,Jun,6,03
3.0,True,1.0,TPE,12:10,SFO,09:05,UA 852,"Non Stop, 11h 55m",United Airlines ,2.0,,,Jun,6,03
4.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,1.0,"LM 5,490",3 Seats left,Jun,6,03
4.0,False,1.0,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,2.0,"LM 6,110",1 Seats left,Jun,6,03
