route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1,True,1,TPE,09:50,SFO,06:20,UA 872,"Non Stop, 11h 30m",United Airlines ,1,"LM 40,000",+ US$ 55.80,May,5,01
1,True,1,TPE,09:50,SFO,06:20,UA 872,"Non Stop, 11h 30m",United Airlines ,2,,,May,5,01
2,True,1,TPE,12:10,SFO,08:40,UA 852,"Non Stop, 11h 30m",United Airlines ,1,"LM 40,000",+ US$ 55.80,May,5,01
2,True,1,TPE,12:10,SFO,08:40,UA 852,"Non Stop, 11h 30m",United Airlines ,2,,,May,5,01
3,False,1,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1,"LM 5,490",,May,5,01
3,False,1,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2,"LM 6,110",1 Seats left,May,5,01
3,False,2,HKG,11:15,SFO,08:50,UA 862,Non Stop,UNITED AIRLINES,1,"LM 34,510",,May,5,01
3,False,2,HKG,11:15,SFO,08:50,UA 862,Non Stop,UNITED AIRLINES,2,,,May,5,01
4,False,1,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,1,"LM 5,490",,May,5,01
4,False,1,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,2,,,May,5,01
4,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,1,"LM 34,510",,May,5,01
4,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,2,,,May,5,01
5,False,1,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,1,"LM 5,490",,May,5,01
5,False,1,TPE,16:40,HKG,18:30,BR 871,Non Stop,EVA AIRWAYS,2,"LM 6,110",2 Seats left,May,5,01
5,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,1,"LM 34,510",,May,5,01
5,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,2,,,May,5,01
6,False,1,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,1,,,May,5,01
6,False,1,TPE,14:10,HKG,16:00,BR 855,Non Stop,EVA AIRWAYS,2,"LM 6,110",1 Seats left,May,5,01
6,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,1,"LM 34,520",,May,5,01
6,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,2,,,May,5,01
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,1,"LM 40,000",,May,5,02
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,2,,,May,5,02
2,True,1,TPE,09:50,SFO,06:20,UA 872,"Non Stop, 11h 30m",United Airlines ,1,"LM 40,000",+ US$ 55.80,May,5,02
2,True,1,TPE,09:50,SFO,06:20,UA 872,"Non Stop, 11h 30m",United Airlines ,2,,,May,5,02
3,True,1,TPE,12:10,SFO,08:40,UA 852,"Non Stop, 11h 30m",United Airlines ,1,"LM 40,000",+ US$ 55.80,May,5,02
3,True,1,TPE,12:10,SFO,08:40,UA 852,"Non Stop, 11h 30m",United Airlines ,2,,,May,5,02
4,True,1,TPE,23:30,SFO,20:00,BR 28,"Non Stop, 11h 30m",Eva Airways ,1,"LM 40,000",,May,5,02
4,True,1,TPE,23:30,SFO,20:00,BR 28,"Non Stop, 11h 30m",Eva Airways ,2,,,May,5,02
5,False,1,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,1,"LM 5,490",2 Seats left,May,5,02
5,False,1,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,2,"LM 6,110",1 Seats left,May,5,02
5,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,1,"LM 34,510",,May,5,02
5,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,2,,,May,5,02
6,False,1,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,1,"LM 5,490",,May,5,02
6,False,1,TPE,07:00,HKG,08:50,BR 891,Non Stop,EVA AIRWAYS,2,"LM 6,110",2 Seats left,May,5,02
6,False,2,HKG,11:15,SFO,08:50,UA 862,Non Stop,UNITED AIRLINES,1,"LM 34,510",,May,5,02
6,False,2,HKG,11:15,SFO,08:50,UA 862,Non Stop,UNITED AIRLINES,2,,,May,5,02
7,False,1,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,1,"LM 5,490",,May,5,02
7,False,1,TPE,18:10,HKG,19:55,BR 857,Non Stop,EVA AIRWAYS,2,"LM 6,110",2 Seats left,May,5,02
7,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,1,"LM 34,510",,May,5,02
7,False,2,HKG,22:30,SFO,20:05,UA 878,Non Stop,UNITED AIRLINES,2,,,May,5,02
8,False,1,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,1,"LM 9,500",2 Seats left,May,5,02
8,False,1,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,2,,,May,5,02
8,False,2,NRT,17:05,SFO,10:25,UA 838,Non Stop,UNITED AIRLINES,1,"LM 30,500",,May,5,02
8,False,2,NRT,17:05,SFO,10:25,UA 838,Non Stop,UNITED AIRLINES,2,,,May,5,02
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,1,"LM 40,000",,May,5,03
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,2,,,May,5,03
2,True,1,TPE,09:50,SFO,06:20,UA 872,"Non Stop, 11h 30m",United Airlines ,1,"LM 40,000",+ US$ 55.80,May,5,03
2,True,1,TPE,09:50,SFO,06:20,UA 872,"Non Stop, 11h 30m",United Airlines ,2,,,May,5,03
3,True,1,TPE,12:10,SFO,08:40,UA 852,"Non Stop, 11h 30m",United Airlines ,1,"LM 40,000",+ US$ 55.80,May,5,03
3,True,1,TPE,12:10,SFO,08:40,UA 852,"Non Stop, 11h 30m",United Airlines ,2,,,May,5,03
4,True,1,TPE,19:40,SFO,16:10,BR 18,"Non Stop, 11h 30m",Eva Airways ,1,"LM 40,000",,May,5,03
4,True,1,TPE,19:40,SFO,16:10,BR 18,"Non Stop, 11h 30m",Eva Airways ,2,,,May,5,03
5,False,1,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,1,"LM 5,490",3 Seats left,May,5,03
5,False,1,TPE,19:00,HKG,20:45,BR 809,Non Stop,EVA AIRWAYS,2,"LM 6,110",1 Seats left,May,5,03
