route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1,False,1,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1,"LM 8,070",4 Seats left,Sep,9,01
1,False,1,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2,,,Sep,9,01
1,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 31,930",1 Seats left,Sep,9,01
1,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Sep,9,01
2,False,1,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,1,"LM 7,620",2 Seats left,Sep,9,01
2,False,1,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,2,,,Sep,9,01
2,False,2,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1,"LM 32,380",,Sep,9,01
2,False,2,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,01
1,True,1,TPE,19:40,SFO,16:00,BR 18,"Non Stop, 11h 20m",Eva Airways ,1,"LM 40,000",,Sep,9,02
1,True,1,TPE,19:40,SFO,16:00,BR 18,"Non Stop, 11h 20m",Eva Airways ,2,,,Sep,9,02
2,True,1,TPE,23:30,SFO,19:50,BR 28,"Non Stop, 11h 20m",Eva Airways ,1,"LM 40,000",,Sep,9,02
2,True,1,TPE,23:30,SFO,19:50,BR 28,"Non Stop, 11h 20m",Eva Airways ,2,,,Sep,9,02
3,False,1,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1,"LM 8,070",4 Seats left,Sep,9,02
3,False,1,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2,,,Sep,9,02
3,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 31,930",2 Seats left,Sep,9,02
3,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Sep,9,02
4,False,1,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,1,,,Sep,9,02
4,False,1,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,2,"LM 10,600",2 Seats left,Sep,9,02
4,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 31,940",2 Seats left,Sep,9,02
4,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Sep,9,02
5,False,1,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1,"LM 12,120",1 Seats left,Sep,9,02
5,False,1,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2,,,Sep,9,02
5,False,2,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,1,"LM 27,880",,Sep,9,02
5,False,2,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,2,,,Sep,9,02
6,False,1,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,1,"LM 7,620",1 Seats left,Sep,9,02
6,False,1,TPE,06:30,KIX,10:10,BR 178,Non Stop,EVA AIRWAYS,2,"LM 15,360",2 Seats left,Sep,9,02
6,False,2,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,1,"LM 32,380",,Sep,9,02
6,False,2,KIX,16:50,SFO,10:55,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,02
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,1,"LM 40,000",,Sep,9,03
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,2,,,Sep,9,03
2,True,1,TPE,19:40,SFO,16:00,BR 18,"Non Stop, 11h 20m",Eva Airways ,1,"LM 40,000",,Sep,9,03
2,True,1,TPE,19:40,SFO,16:00,BR 18,"Non Stop, 11h 20m",Eva Airways ,2,,,Sep,9,03
3,False,1,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,1,"LM 8,070",4 Seats left,Sep,9,03
3,False,1,TPE,15:15,ICN,18:45,BR 160,Non Stop,EVA AIRWAYS,2,"LM 10,600",1 Seats left,Sep,9,03
3,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 31,930",,Sep,9,03
3,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Sep,9,03
4,False,1,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,1,"LM 8,060",1 Seats left,Sep,9,03
4,False,1,TPE,13:15,ICN,17:05,OZ 712,Non Stop,ASIANA AIRLINES,2,,,Sep,9,03
4,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 31,940",,Sep,9,03
4,False,2,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Sep,9,03
5,False,1,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,1,"LM 12,120",4 Seats left,Sep,9,03
5,False,1,TPE,07:55,NRT,12:25,BR 184,Non Stop,EVA AIRWAYS,2,"LM 21,400",1 Seats left,Sep,9,03
5,False,2,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,1,"LM 27,880",,Sep,9,03
5,False,2,HND,17:45,SFO,11:30,UA 876,Non Stop,UNITED AIRLINES,2,,,Sep,9,03
6,False,1,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,1,"LM 8,260",3 Seats left,Sep,9,03
6,False,1,TSA,07:20,HND,11:35,BR 192,Non Stop,EVA AIRWAYS,2,"LM 17,120",2 Seats left,Sep,9,03
6,False,2,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 3,750",,Sep,9,03
6,False,2,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,03
6,False,3,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 27,990",,Sep,9,03
6,False,3,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,03
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,1,"LM 40,000",,Sep,9,04
1,True,1,TPE,10:15,SFO,06:30,BR 8,"Non Stop, 11h 15m",Eva Airways ,2,,,Sep,9,04
2,True,1,TPE,19:40,SFO,16:00,BR 18,"Non Stop, 11h 20m",Eva Airways ,1,"LM 40,000",,Sep,9,04
2,True,1,TPE,19:40,SFO,16:00,BR 18,"Non Stop, 11h 20m",Eva Airways ,2,,,Sep,9,04
3,True,1,TPE,23:30,SFO,19:50,BR 28,"Non Stop, 11h 20m",Eva Airways ,1,"LM 40,000",,Sep,9,04
3,True,1,TPE,23:30,SFO,19:50,BR 28,"Non Stop, 11h 20m",Eva Airways ,2,,,Sep,9,04
